filename,width,height,class,xmin,ymin,xmax,ymax
crop001042_jpg.rf.3e9a6c8462907e99b8e0ef26ff261c66.jpg,739,976,person,336,223,474,867
crop001042_jpg.rf.3e9a6c8462907e99b8e0ef26ff261c66.jpg,739,976,person,223,191,314,709
crop001042_jpg.rf.3e9a6c8462907e99b8e0ef26ff261c66.jpg,739,976,non-person,347,0,474,223
crop001042_jpg.rf.3e9a6c8462907e99b8e0ef26ff261c66.jpg,739,976,non-person,529,775,609,921
person_and_bike_007_jpg.rf.3b4f106ea7df5972332dd7595175b6e5.jpg,640,480,person,247,43,358,406
person_186_jpg.rf.3cd01bf9be17aaa2661f822a774591ee.jpg,640,480,person,246,171,333,388
person_186_jpg.rf.3cd01bf9be17aaa2661f822a774591ee.jpg,640,480,person,336,161,413,383
person_186_jpg.rf.3cd01bf9be17aaa2661f822a774591ee.jpg,640,480,non-person,463,163,640,339
person_186_jpg.rf.3cd01bf9be17aaa2661f822a774591ee.jpg,640,480,non-person,54,93,215,378
crop001623_jpg.rf.3c1ccaba77f6c086f2e3c10f7161a89d.jpg,1083,960,person,611,235,779,851
crop001623_jpg.rf.3c1ccaba77f6c086f2e3c10f7161a89d.jpg,1083,960,person,498,233,617,687
crop001623_jpg.rf.3c1ccaba77f6c086f2e3c10f7161a89d.jpg,1083,960,person,304,256,496,859
crop001623_jpg.rf.3c1ccaba77f6c086f2e3c10f7161a89d.jpg,1083,960,non-person,165,2,259,381
crop001623_jpg.rf.3c1ccaba77f6c086f2e3c10f7161a89d.jpg,1083,960,non-person,536,0,680,258
crop001623_jpg.rf.3c1ccaba77f6c086f2e3c10f7161a89d.jpg,1083,960,non-person,780,119,863,254
person_187_jpg.rf.3b333b1680c7af2bb7e622c3a9ade22f.jpg,640,480,person,291,218,339,414
person_187_jpg.rf.3b333b1680c7af2bb7e622c3a9ade22f.jpg,640,480,person,343,231,404,425
person_187_jpg.rf.3b333b1680c7af2bb7e622c3a9ade22f.jpg,640,480,person,405,265,457,431
person_187_jpg.rf.3b333b1680c7af2bb7e622c3a9ade22f.jpg,640,480,person,482,208,562,400
crop001163_jpg.rf.3ca349de576e1da03d8deadbdd1f41ae.jpg,228,453,person,11,93,112,370
crop001163_jpg.rf.3ca349de576e1da03d8deadbdd1f41ae.jpg,228,453,non-person,137,160,228,341
crop001045_jpg.rf.44b6d22d04d6bf85e48ef5a68b888400.jpg,374,498,person,160,171,203,305
crop001045_jpg.rf.44b6d22d04d6bf85e48ef5a68b888400.jpg,374,498,non-person,32,109,126,358
crop001063_jpg.rf.44b4a6a55398a9ba031d17a1565599e1.jpg,399,976,person,197,236,324,807
crop001063_jpg.rf.44b4a6a55398a9ba031d17a1565599e1.jpg,399,976,person,150,314,209,536
crop001063_jpg.rf.44b4a6a55398a9ba031d17a1565599e1.jpg,399,976,person,94,291,152,531
crop001063_jpg.rf.44b4a6a55398a9ba031d17a1565599e1.jpg,399,976,person,309,309,370,544
crop001063_jpg.rf.44b4a6a55398a9ba031d17a1565599e1.jpg,399,976,non-person,99,34,296,215
crop001063_jpg.rf.44b4a6a55398a9ba031d17a1565599e1.jpg,399,976,non-person,34,564,155,937
crop001063_jpg.rf.44b4a6a55398a9ba031d17a1565599e1.jpg,399,976,non-person,318,63,399,295
crop001063_jpg.rf.44b4a6a55398a9ba031d17a1565599e1.jpg,399,976,non-person,2,94,91,545
person_and_bike_091_jpg.rf.41ed19a8b7aaa1e496195683cf731f72.jpg,640,480,person,163,34,365,384
person_and_bike_091_jpg.rf.41ed19a8b7aaa1e496195683cf731f72.jpg,640,480,non-person,386,362,586,480
person_300_jpg.rf.40d2294eadb058c23cc524bb5236a336.jpg,640,480,person,251,105,377,401
person_300_jpg.rf.40d2294eadb058c23cc524bb5236a336.jpg,640,480,person,337,69,374,186
crop001816_jpg.rf.3dc4e9b364e5663b8c82ce372bdaf115.jpg,406,614,person,230,191,313,486
person_and_bike_133_jpg.rf.4561c845f18db6d60d10938d99fa62a0.jpg,640,480,person,254,117,354,401
person_and_bike_133_jpg.rf.4561c845f18db6d60d10938d99fa62a0.jpg,640,480,person,350,140,429,404
person_and_bike_133_jpg.rf.4561c845f18db6d60d10938d99fa62a0.jpg,640,480,non-person,97,163,221,316
person_165_jpg.rf.3eeecd0ae274f6b828ebafe8e80a3aac.jpg,640,480,person,275,202,347,361
person_349_jpg.rf.4523c9b8d3e1e495ad10fe30d0f0efad.jpg,640,480,person,454,91,584,474
person_349_jpg.rf.4523c9b8d3e1e495ad10fe30d0f0efad.jpg,640,480,person,338,102,431,462
person_349_jpg.rf.4523c9b8d3e1e495ad10fe30d0f0efad.jpg,640,480,person,37,129,121,383
person_and_bike_157_jpg.rf.44c7c7fc6487cae333dc705ccbedf170.jpg,640,480,person,319,75,450,395
crop001638_jpg.rf.45b191acacc99cfb64a439ce446bc1c0.jpg,1274,960,person,608,286,751,788
crop001638_jpg.rf.45b191acacc99cfb64a439ce446bc1c0.jpg,1274,960,person,438,317,590,789
crop001638_jpg.rf.45b191acacc99cfb64a439ce446bc1c0.jpg,1274,960,person,809,274,901,703
crop001638_jpg.rf.45b191acacc99cfb64a439ce446bc1c0.jpg,1274,960,person,760,292,816,464
crop001638_jpg.rf.45b191acacc99cfb64a439ce446bc1c0.jpg,1274,960,non-person,68,154,143,302
crop001638_jpg.rf.45b191acacc99cfb64a439ce446bc1c0.jpg,1274,960,non-person,968,272,1173,758
crop001638_jpg.rf.45b191acacc99cfb64a439ce446bc1c0.jpg,1274,960,non-person,271,137,359,294
crop001638_jpg.rf.45b191acacc99cfb64a439ce446bc1c0.jpg,1274,960,non-person,0,353,219,960
